entity_id,name,domain,platform,device_id,device_name,area,area_source,entity_category,label_names,label_count,missing_labels,rule_failures,disabled_by,hidden_by
sensor.0x348d13fffe3d46bd_linkquality,Linkquality,sensor,mqtt,9bc296d31a25b042eede679299c912c1,Veranda-ventilator,Veranda,device,diagnostic,,0,True,no labels at all,integration,
update.veranda_ventilator,,update,mqtt,9bc296d31a25b042eede679299c912c1,Veranda-ventilator,Veranda,device,config,,0,True,no labels at all,,
switch.tv,,switch,mqtt,437b650be2ddb2c06f313e8c5033c366,TV,Woonkamer,device,,,0,True,no labels at all,,
select.tv_power_on_behavior,Power-on behavior,select,mqtt,437b650be2ddb2c06f313e8c5033c366,TV,Woonkamer,device,config,,0,True,no labels at all,,
switch.tv_child_lock,Child lock,switch,mqtt,437b650be2ddb2c06f313e8c5033c366,TV,Woonkamer,device,config,,0,True,no labels at all,,
switch.tv_led_enable,Led enable,switch,mqtt,437b650be2ddb2c06f313e8c5033c366,TV,Woonkamer,device,config,,0,True,no labels at all,,
button.tv_identify,Identify,button,mqtt,437b650be2ddb2c06f313e8c5033c366,TV,Woonkamer,device,config,,0,True,no labels at all,,
sensor.0x348d13fffef72655_linkquality,Linkquality,sensor,mqtt,437b650be2ddb2c06f313e8c5033c366,TV,Woonkamer,device,diagnostic,,0,True,no labels at all,integration,
update.tv,,update,mqtt,437b650be2ddb2c06f313e8c5033c366,TV,Woonkamer,device,config,,0,True,no labels at all,,
switch.bureaulamp_rudi,,switch,mqtt,0f1c26b27d08d7ee8601b7d085faa4df,Bureaulamp Rudi,Woonkamer,device,,,0,True,no labels at all,,
select.bureaulamp_rudi_power_on_behavior,Power-on behavior,select,mqtt,0f1c26b27d08d7ee8601b7d085faa4df,Bureaulamp Rudi,Woonkamer,device,config,,0,True,no labels at all,,
switch.bureaulamp_rudi_child_lock,Child lock,switch,mqtt,0f1c26b27d08d7ee8601b7d085faa4df,Bureaulamp Rudi,Woonkamer,device,config,,0,True,no labels at all,,
switch.bureaulamp_rudi_led_enable,Led enable,switch,mqtt,0f1c26b27d08d7ee8601b7d085faa4df,Bureaulamp Rudi,Woonkamer,device,config,,0,True,no labels at all,,
button.bureaulamp_rudi_identify,Identify,button,mqtt,0f1c26b27d08d7ee8601b7d085faa4df,Bureaulamp Rudi,Woonkamer,device,config,,0,True,no labels at all,,
sensor.0x348d13fffeeb25b0_linkquality,Linkquality,sensor,mqtt,0f1c26b27d08d7ee8601b7d085faa4df,Bureaulamp Rudi,Woonkamer,device,diagnostic,,0,True,no labels at all,integration,
update.bureaulamp_rudi,,update,mqtt,0f1c26b27d08d7ee8601b7d085faa4df,Bureaulamp Rudi,Woonkamer,device,config,,0,True,no labels at all,,
switch.bureau_rudi,,switch,mqtt,5f0d47606fe1a021b007d901fe89d6ee,Bureau Rudi,Woonkamer,device,,,0,True,no labels at all,,
select.bureau_rudi_power_on_behavior,Power-on behavior,select,mqtt,5f0d47606fe1a021b007d901fe89d6ee,Bureau Rudi,Woonkamer,device,config,,0,True,no labels at all,,
switch.bureau_rudi_child_lock,Child lock,switch,mqtt,5f0d47606fe1a021b007d901fe89d6ee,Bureau Rudi,Woonkamer,device,config,,0,True,no labels at all,,
switch.bureau_rudi_led_enable,Led enable,switch,mqtt,5f0d47606fe1a021b007d901fe89d6ee,Bureau Rudi,Woonkamer,device,config,,0,True,no labels at all,,
button.bureau_rudi_identify,Identify,button,mqtt,5f0d47606fe1a021b007d901fe89d6ee,Bureau Rudi,Woonkamer,device,config,,0,True,no labels at all,,
sensor.0x348d13fffe07b7f3_linkquality,Linkquality,sensor,mqtt,5f0d47606fe1a021b007d901fe89d6ee,Bureau Rudi,Woonkamer,device,diagnostic,,0,True,no labels at all,integration,
update.bureau_rudi,,update,mqtt,5f0d47606fe1a021b007d901fe89d6ee,Bureau Rudi,Woonkamer,device,config,,0,True,no labels at all,,
binary_sensor.voordeur_bewegingssensor_occupancy,Occupancy,binary_sensor,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,,,0,True,no labels at all,,
binary_sensor.voordeur_bewegingssensor_illuminance_above_threshold,Illuminance above threshold,binary_sensor,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,diagnostic,,0,True,no labels at all,,
sensor.voordeur_beweginssensor_requested_brightness_level,Requested brightness level,sensor,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,diagnostic,,0,True,no labels at all,integration,
sensor.voordeur_beweginssensor_requested_brightness_percent,Requested brightness percent,sensor,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,diagnostic,,0,True,no labels at all,integration,
button.voordeur_bewegingssensor_identify,Identify,button,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,config,,0,True,no labels at all,,
sensor.voordeur_bewegingssensor_battery,Battery,sensor,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,diagnostic,,0,True,no labels at all,,
sensor.voordeur_beweginssensor_linkquality,Linkquality,sensor,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,diagnostic,,0,True,no labels at all,integration,
update.voordeur_bewegingssensor,,update,mqtt,63b676221e5687a5fc0a47eb0bd0d47b,Voordeur bewegingssensor,Hal beneden,device,config,,0,True,no labels at all,,
update.wijnrek_lamp_firmware,Firmware,update,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,config,,0,True,no labels at all,,
button.wijnrek_lamp_identify,Identify,button,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,diagnostic,,0,True,no labels at all,,
light.wijnrek_lamp,,light,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,,,0,True,no labels at all,,
number.wijnrek_lamp_off_transition_time,Off transition time,number,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,config,,0,True,no labels at all,,
number.wijnrek_lamp_on_level,On level,number,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,config,,0,True,no labels at all,,
number.wijnrek_lamp_on_transition_time,On transition time,number,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,config,,0,True,no labels at all,,
number.wijnrek_lamp_on_off_transition_time,On/Off transition time,number,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,config,,0,True,no labels at all,,
select.wijnrek_lamp_power_on_behavior_on_startup,Power-on behavior,select,matter,a9fcfd899c59485dc2b43efc0aa1c3a7,Wijnrek lamp,Woonkamer,device,config,,0,True,no labels at all,,
update.zigbee_map_update,Update,update,hacs,e4d2b3edc9cc36db21397460de23ccf4,Zigbee Map,Digital only,device,config,,0,True,no labels at all,,
switch.zigbee_map_pre_release,Pre-release,switch,hacs,e4d2b3edc9cc36db21397460de23ccf4,Zigbee Map,Digital only,device,diagnostic,,0,True,no labels at all,integration,
