entity_id,domain,full_entity_id
dnshassio_is_present_2,binary_sensor,binary_sensor.dnshassio_is_present_2
dnshassio_is_present_3,binary_sensor,binary_sensor.dnshassio_is_present_3
dnshassio_is_present_4,binary_sensor,binary_sensor.dnshassio_is_present_4
dnshassio_is_present_5,binary_sensor,binary_sensor.dnshassio_is_present_5
draadjekleinsensenl_is_present,binary_sensor,binary_sensor.draadjekleinsensenl_is_present
droger_running,binary_sensor,binary_sensor.droger_running
echo_local_problem,binary_sensor,binary_sensor.echo_local_problem
energy_kwh_chargerkleinsensenl_is_present,binary_sensor,binary_sensor.energy_kwh_chargerkleinsensenl_is_present
energy_p1_meterkleinsensenl_is_present,binary_sensor,binary_sensor.energy_p1_meterkleinsensenl_is_present
energysocket_dariuskleinsensenl_is_present,binary_sensor,binary_sensor.energysocket_dariuskleinsensenl_is_present
energysocket_rudikleinsensenl_is_present,binary_sensor,binary_sensor.energysocket_rudikleinsensenl_is_present
enphase_site_1234567_cloud_reachable,binary_sensor,binary_sensor.enphase_site_1234567_cloud_reachable
enphase_site_5850136_cloud_reachable,binary_sensor,binary_sensor.enphase_site_5850136_cloud_reachable
enphase_site_5850163_cloud_reachable,binary_sensor,binary_sensor.enphase_site_5850163_cloud_reachable
envoykleinsensenl_is_present,binary_sensor,binary_sensor.envoykleinsensenl_is_present
espsomfyrts_zonnescherm,binary_sensor,binary_sensor.espsomfyrts_zonnescherm
espsomfyrts_zonnescherm_2,binary_sensor,binary_sensor.espsomfyrts_zonnescherm_2
espsomfyrts_zonnescherm_wind,binary_sensor,binary_sensor.espsomfyrts_zonnescherm_wind
espsomfyrts_zonnescherm_zon,binary_sensor,binary_sensor.espsomfyrts_zonnescherm_zon
ev3_back_left_door_lock,binary_sensor,binary_sensor.ev3_back_left_door_lock
ev3_back_right_door_lock,binary_sensor,binary_sensor.ev3_back_right_door_lock
ev3_front_left_door_lock,binary_sensor,binary_sensor.ev3_front_left_door_lock
