entity_id,state,domain,friendly_name
update.bilresa_scroll_wheel_firmware_3,off,update,Scroll wheel nachtkastje Firmware
button.slaapkamer_r_r_scroll_wheel_nachtkastje_identify_1,unknown,button,Scroll wheel nachtkastje Identify (1)
event.bilresa_scroll_wheel_button_1_3,2026-07-15T20:28:01.703+00:00,event,Scroll wheel nachtkastje Button (1)
event.bilresa_scroll_wheel_button_2_3,2026-07-14T16:43:32.447+00:00,event,Scroll wheel nachtkastje Button (2)
event.bilresa_scroll_wheel_button_3_3,2026-06-12T13:10:17.254+00:00,event,Scroll wheel nachtkastje Button (3)
event.bilresa_scroll_wheel_button_4_3,unknown,event,Scroll wheel nachtkastje Button (4)
event.bilresa_scroll_wheel_button_5_3,unknown,event,Scroll wheel nachtkastje Button (5)
event.bilresa_scroll_wheel_button_6_3,unknown,event,Scroll wheel nachtkastje Button (6)
event.bilresa_scroll_wheel_button_7_3,unknown,event,Scroll wheel nachtkastje Button (7)
event.bilresa_scroll_wheel_button_8_3,unknown,event,Scroll wheel nachtkastje Button (8)
event.bilresa_scroll_wheel_button_9_3,unknown,event,Scroll wheel nachtkastje Button (9)
sensor.achtertuin_achtertuin_tf2_battery,100,sensor,Achtertuin (TF2) Battery
sensor.achtertuin_achtertuin_tf2_battery_voltage,2.921,sensor,Achtertuin (TF2) Battery voltage
sensor.achtertuin_achtertuin_tf2_battery_type,AAA,sensor,Achtertuin (TF2) Battery type
update.achtertuin_achtertuin_tf2_firmware,off,update,Achtertuin (TF2) Firmware
button.achtertuin_achtertuin_tf2_identify_1,unknown,button,Achtertuin (TF2) Identify (1)
sensor.achtertuin_achtertuin_tf2_temperature,28.49,sensor,Achtertuin (TF2) Temperature
button.achtertuin_achtertuin_tf2_identify_2,unknown,button,Achtertuin (TF2) Identify (2)
sensor.achtertuin_achtertuin_tf2_humidity,57.88,sensor,Achtertuin (TF2) Humidity
sensor.veranda_veranda_tf1_battery,100,sensor,Veranda (TF1) Battery
sensor.veranda_veranda_tf1_battery_voltage,2.928,sensor,Veranda (TF1) Battery voltage
sensor.veranda_veranda_tf1_battery_type,AAA,sensor,Veranda (TF1) Battery type
update.veranda_veranda_tf1_firmware,off,update,Veranda (TF1) Firmware
button.veranda_veranda_tf1_identify_1,unknown,button,Veranda (TF1) Identify (1)
